benchmark,model,lang_pair,bilingual_type,checkpoint,eval_language,accuracy,n_correct,n_total
xcomps,BeetleLM/beetlelm_fra-ukr_balanced,fra-ukr,balanced,step-0,French,0.491718,7065,14368
xcomps,BeetleLM/beetlelm_eng-fra_balanced,eng-fra,balanced,step-0,French,0.482809,6937,14368
xcomps,BeetleLM/beetlelm_fra-ind_balanced,fra-ind,balanced,step-0,French,0.488307,7016,14368
xcomps,BeetleLM/beetlelm_fas-fra_balanced,fas-fra,balanced,step-0,French,0.49478,7109,14368
xcomps,BeetleLM/beetlelm_fra-deu_balanced,fra-deu,balanced,step-0,French,0.485593,6977,14368
xcomps,BeetleLM/beetlelm_fra_mono,fra,mono,step-1000,French,0.47738,6859,14368
xcomps,BeetleLM/beetlelm_fra-ukr_balanced,fra-ukr,balanced,step-0,Ukrainian,0.481626,6920,14368
xcomps,BeetleLM/beetlelm_nld-fra_balanced,nld-fra,balanced,step-0,Ukrainian,0.43569,6260,14368
xcomps,BeetleLM/beetlelm_zho-fra_balanced,zho-fra,balanced,step-0,Ukrainian,0.440493,6329,14368
xcomps,BeetleLM/beetlelm_fra-ukr_balanced,fra-ukr,balanced,step-1,French,0.491718,7065,14368
xcomps,BeetleLM/beetlelm_fra-deu_balanced,fra-deu,balanced,step-0,Ukrainian,0.434507,6243,14368
xcomps,BeetleLM/beetlelm_zho-fra_balanced,zho-fra,balanced,step-0,Chinese,0.500626,7193,14368
xcomps,BeetleLM/beetlelm_eng-fra_balanced,eng-fra,balanced,step-0,Ukrainian,0.43917,6310,14368
xcomps,BeetleLM/beetlelm_fra-ukr_balanced,fra-ukr,balanced,step-1,Ukrainian,0.481626,6920,14368
xcomps,BeetleLM/beetlelm_fra-ind_balanced,fra-ind,balanced,step-0,Ukrainian,0.492483,7076,14368
xcomps,BeetleLM/beetlelm_fas-fra_balanced,fas-fra,balanced,step-0,Ukrainian,0.494502,7105,14368
xcomps,BeetleLM/beetlelm_fra_mono,fra,mono,step-1000,Ukrainian,0.468332,6729,14368
xcomps,BeetleLM/beetlelm_fra-ukr_balanced,fra-ukr,balanced,step-2,French,0.491718,7065,14368
xcomps,BeetleLM/beetlelm_fra-deu_balanced,fra-deu,balanced,step-1,French,0.485593,6977,14368
xcomps,BeetleLM/beetlelm_fas-fra_balanced,fas-fra,balanced,step-1,French,0.49478,7109,14368
xcomps,BeetleLM/beetlelm_eng-fra_balanced,eng-fra,balanced,step-1,French,0.482809,6937,14368
xcomps,BeetleLM/beetlelm_fra-ind_balanced,fra-ind,balanced,step-1,French,0.488307,7016,14368
xcomps,BeetleLM/beetlelm_fra_mono,fra,mono,step-2000,French,0.477241,6857,14368
xcomps,BeetleLM/beetlelm_fra-ukr_balanced,fra-ukr,balanced,step-2,Ukrainian,0.481626,6920,14368
xcomps,BeetleLM/beetlelm_nld-fra_balanced,nld-fra,balanced,step-1,Ukrainian,0.43569,6260,14368
xcomps,BeetleLM/beetlelm_zho-fra_balanced,zho-fra,balanced,step-1,Ukrainian,0.440493,6329,14368
xcomps,BeetleLM/beetlelm_fra-ukr_balanced,fra-ukr,balanced,step-4,French,0.491718,7065,14368
xcomps,BeetleLM/beetlelm_zho-fra_balanced,zho-fra,balanced,step-1,Chinese,0.500626,7193,14368
xcomps,BeetleLM/beetlelm_fra-ind_balanced,fra-ind,balanced,step-1,Ukrainian,0.492483,7076,14368
xcomps,BeetleLM/beetlelm_fra-ukr_balanced,fra-ukr,balanced,step-4,Ukrainian,0.481626,6920,14368
xcomps,BeetleLM/beetlelm_fas-fra_balanced,fas-fra,balanced,step-1,Ukrainian,0.494502,7105,14368
xcomps,BeetleLM/beetlelm_fra_mono,fra,mono,step-2000,Ukrainian,0.473413,6802,14368
xcomps,BeetleLM/beetlelm_eng-fra_balanced,eng-fra,balanced,step-1,Ukrainian,0.43917,6310,14368
xcomps,BeetleLM/beetlelm_fra-deu_balanced,fra-deu,balanced,step-1,Ukrainian,0.434507,6243,14368
xcomps,BeetleLM/beetlelm_fra-ukr_balanced,fra-ukr,balanced,step-8,French,0.491718,7065,14368
xcomps,BeetleLM/beetlelm_fra-ind_balanced,fra-ind,balanced,step-2,French,0.488307,7016,14368
xcomps,BeetleLM/beetlelm_fas-fra_balanced,fas-fra,balanced,step-2,French,0.49478,7109,14368
xcomps,BeetleLM/beetlelm_eng-fra_balanced,eng-fra,balanced,step-2,French,0.482809,6937,14368
xcomps,BeetleLM/beetlelm_fra-deu_balanced,fra-deu,balanced,step-2,French,0.485593,6977,14368
xcomps,BeetleLM/beetlelm_nld-fra_balanced,nld-fra,balanced,step-2,Ukrainian,0.43569,6260,14368
xcomps,BeetleLM/beetlelm_fra_mono,fra,mono,step-3000,French,0.481835,6923,14368
xcomps,BeetleLM/beetlelm_fra-ukr_balanced,fra-ukr,balanced,step-8,Ukrainian,0.481626,6920,14368
xcomps,BeetleLM/beetlelm_zho-fra_balanced,zho-fra,balanced,step-2,Ukrainian,0.440493,6329,14368
xcomps,BeetleLM/beetlelm_zho-fra_balanced,zho-fra,balanced,step-2,Chinese,0.500626,7193,14368
xcomps,BeetleLM/beetlelm_fra-ind_balanced,fra-ind,balanced,step-2,Ukrainian,0.492483,7076,14368
xcomps,BeetleLM/beetlelm_nld-fra_balanced,nld-fra,balanced,step-4,Ukrainian,0.43569,6260,14368
xcomps,BeetleLM/beetlelm_fra-deu_balanced,fra-deu,balanced,step-2,Ukrainian,0.434507,6243,14368
xcomps,BeetleLM/beetlelm_fas-fra_balanced,fas-fra,balanced,step-2,Ukrainian,0.494502,7105,14368
xcomps,BeetleLM/beetlelm_eng-fra_balanced,eng-fra,balanced,step-2,Ukrainian,0.43917,6310,14368
xcomps,BeetleLM/beetlelm_fra_mono,fra,mono,step-3000,Ukrainian,0.481487,6918,14368
xcomps,BeetleLM/beetlelm_fra-ukr_balanced,fra-ukr,balanced,step-16,French,0.491231,7058,14368
xcomps,BeetleLM/beetlelm_fra-ind_balanced,fra-ind,balanced,step-4,French,0.488307,7016,14368
xcomps,BeetleLM/beetlelm_eng-fra_balanced,eng-fra,balanced,step-4,French,0.482809,6937,14368
xcomps,BeetleLM/beetlelm_fra-deu_balanced,fra-deu,balanced,step-4,French,0.485593,6977,14368
xcomps,BeetleLM/beetlelm_fas-fra_balanced,fas-fra,balanced,step-4,French,0.49478,7109,14368
xcomps,BeetleLM/beetlelm_fra-ukr_balanced,fra-ukr,balanced,step-16,Ukrainian,0.481695,6921,14368
xcomps,BeetleLM/beetlelm_fra_mono,fra,mono,step-4000,French,0.479468,6889,14368
xcomps,BeetleLM/beetlelm_nld-fra_balanced,nld-fra,balanced,step-8,Ukrainian,0.43569,6260,14368
xcomps,BeetleLM/beetlelm_zho-fra_balanced,zho-fra,balanced,step-4,Ukrainian,0.440493,6329,14368
xcomps,BeetleLM/beetlelm_fra-ukr_balanced,fra-ukr,balanced,step-32,French,0.4913,7059,14368
xcomps,BeetleLM/beetlelm_zho-fra_balanced,zho-fra,balanced,step-4,Chinese,0.500626,7193,14368
xcomps,BeetleLM/beetlelm_fra-ind_balanced,fra-ind,balanced,step-4,Ukrainian,0.492483,7076,14368
xcomps,BeetleLM/beetlelm_fra-deu_balanced,fra-deu,balanced,step-4,Ukrainian,0.434507,6243,14368
xcomps,BeetleLM/beetlelm_fra-ukr_balanced,fra-ukr,balanced,step-32,Ukrainian,0.481417,6917,14368
xcomps,BeetleLM/beetlelm_eng-fra_balanced,eng-fra,balanced,step-4,Ukrainian,0.43917,6310,14368
xcomps,BeetleLM/beetlelm_fas-fra_balanced,fas-fra,balanced,step-4,Ukrainian,0.494502,7105,14368
xcomps,BeetleLM/beetlelm_fra_mono,fra,mono,step-4000,Ukrainian,0.472021,6782,14368
